collective,all,all,809.63
ben,il-cta,Blue,26.44
ben,il-cta,Brown,9.4
ben,il-cta,Green,11.32
ben,il-cta,Orange,10.42
ben,il-cta,Pink,8.96
ben,il-cta,Purple,3.9
ben,il-cta,Red,16.28
ben,il-cta,Yellow,4.76
ben,il-cta,8,5.2
ben,il-cta,9,4.75
ben,il-cta,11,4.43
ben,il-cta,J14,0.68
ben,il-cta,18,0.99
ben,il-cta,20,7.68
ben,il-cta,36,3.27
ben,il-cta,37,3.01
ben,il-cta,49B,3.62
ben,il-cta,50,4.24
ben,il-cta,55,1.57
ben,il-cta,56,9.86
ben,il-cta,60,0.41
ben,il-cta,62,0.52
ben,il-cta,66,2.69
ben,il-cta,72,2.2
ben,il-cta,73,3.87
ben,il-cta,74,3.99
ben,il-cta,76,2.77
ben,il-cta,77,3.85
ben,il-cta,78,1.18
ben,il-cta,80,2.23
ben,il-cta,81,5.54
ben,il-cta,82,0.88
ben,il-cta,85A,3.59
ben,il-cta,92,3.23
ben,il-cta,93,7.54
ben,il-cta,94,0.5
ben,il-cta,97,4.26
ben,il-cta,124,2.19
ben,il-cta,134,2.98
ben,il-cta,146,4.69
ben,il-cta,147,10.93
ben,il-cta,151,10.53
ben,il-cta,155,3.37
ben,il-cta,156,5.26
ben,il-cta,171,2.35
ben,il-cta,172,2.21
ben,il-cta,201,8.12
ben,ma-mbta,Blue,1.3
ben,ma-mbta,Green D,13.99
ben,ma-mbta,Green E,6.54
ben,ma-mbta,Orange,5.48
ben,ma-mbta,Red,4.35
ben,ma-mbta,Worcester,35.28
ben,ma-mbta,SL1,3.59
ben,ma-mbta,86,2.77
ben,il-metra,BNSF,10.58
ben,il-metra,ME,9.64
ben,il-metra,MD-N,16.96
ben,il-metra,UP-N,51.42
ben,il-metra,UP-NW,51.47
ben,il-metra,UP-W,43.06
ben,mo-metro,Blue,6.61
ben,mo-metro,70,1.34
ben,ny-mta,New Haven,69.13
ben,wi-mcts,Connect 1,7.97
ben,wi-mcts,Blue,3.37
ben,wi-mcts,Green,3.44
ben,wi-mcts,Purple,1.55
ben,wi-mcts,Red,3.02
ben,wi-mcts,30,13.42
ben,wi-mcts,63,2.83
ben,il-pace,Dempster,14.14
ben,il-pace,215,7.09
ben,il-pace,270,4.06
ben,il-pace,290,0.78
ben,il-pace,309,2.32
ben,il-pace,422,3.34
ben,il-pace,472,5.26
ben,ma-pvta,B79,42.26
ben,pa-prt,Red,3.16
ben,pa-prt,P1,3.91
ben,pa-prt,1,22.81
ben,pa-prt,29,2.01
ben,pa-prt,77,3.41
ben,ma-wrta,1,3.54
ben,ma-wrta,2,3.42
ben,ma-wrta,3,2.19
ben,ma-wrta,4,2.55
ben,ma-wrta,5,2.59
ben,ma-wrta,6,3.42
ben,ma-wrta,7,2.3
ben,ma-wrta,8,6.44
ben,ma-wrta,11,2.34
ben,ma-wrta,12,2.59
ben,ma-wrta,14,4.75
ben,ma-wrta,15,2.08
ben,ma-wrta,16,6.54
ben,ma-wrta,19,2.33
ben,ma-wrta,23,2.65
ben,ma-wrta,24,2.48
ben,ma-wrta,26,2.98
ben,ma-wrta,27,2.68
ben,ma-wrta,29,4.65
ben,ma-wrta,30,5.32
ben,ma-wrta,31,8.92
ben,ma-wrta,33,1.9
ben,ma-wrta,42,4.65
